date,ticker,close_price
2023-01-02,NOVX,198.48
2023-01-03,NOVX,198.34
2023-01-04,NOVX,199.52
2023-01-05,NOVX,198.52
2023-01-06,NOVX,200.83
2023-01-09,NOVX,199.5
2023-01-10,NOVX,199.85
2023-01-11,NOVX,199.66
2023-01-12,NOVX,201.95
2023-01-13,NOVX,203.12
2023-01-16,NOVX,209.13
2023-01-17,NOVX,209.96
2023-01-18,NOVX,210.22
2023-01-19,NOVX,209.63
2023-01-20,NOVX,209.94
2023-01-23,NOVX,205.15
2023-01-24,NOVX,204.28
2023-01-25,NOVX,203.78
2023-01-26,NOVX,201.14
2023-01-27,NOVX,200.6
2023-01-30,NOVX,199.94
2023-01-31,NOVX,203.34
2023-02-01,NOVX,202.3
2023-02-02,NOVX,203.99
2023-02-03,NOVX,207.52
2023-02-06,NOVX,205.92
2023-02-07,NOVX,204.04
2023-02-08,NOVX,201.04
2023-02-10,NOVX,200.13
2023-02-13,NOVX,200.44
2023-02-14,NOVX,201.17
2023-02-15,NOVX,199.86
2023-02-16,NOVX,200.55
2023-02-17,NOVX,200.31
2023-02-20,NOVX,200.5
2023-02-21,NOVX,197.53
2023-02-22,NOVX,196.24
2023-02-23,NOVX,195.83
2023-02-24,NOVX,196.33
2023-02-27,NOVX,198.39
2023-02-28,NOVX,196.26
2023-03-01,NOVX,201.42
2023-03-02,NOVX,200.53
2023-03-03,NOVX,200.43
2023-03-06,NOVX,199.35
2023-03-07,NOVX,198.69
2023-03-08,NOVX,197.84
2023-03-09,NOVX,196.92
2023-03-10,NOVX,198.06
2023-03-13,NOVX,198.6
2023-03-14,NOVX,201.33
2023-03-15,NOVX,204.36
2023-03-16,NOVX,205.05
2023-03-17,NOVX,201.88
2023-03-20,NOVX,200.2
2023-03-21,NOVX,200.97
2023-03-22,NOVX,198.63
2023-03-23,NOVX,194.22
2023-03-24,NOVX,192.42
2023-03-27,NOVX,195.24
2023-03-28,NOVX,193.55
2023-03-29,NOVX,194.11
2023-03-30,NOVX,195.72
2023-03-31,NOVX,194.87
2023-04-03,NOVX,200.99
2023-04-04,NOVX,203.07
2023-04-05,NOVX,206.14
2023-04-06,NOVX,204.58
2023-04-07,NOVX,204.99
2023-04-10,NOVX,206.74
2023-04-11,NOVX,208.15
2023-04-12,NOVX,208.01
2023-04-13,NOVX,203.98
2023-04-14,NOVX,206.05
2023-04-17,NOVX,205.85
2023-04-18,NOVX,204.82
2023-04-19,NOVX,202.86
2023-04-20,NOVX,201.8
2023-04-21,NOVX,200.01
2023-04-24,NOVX,198.97
2023-04-25,NOVX,199.65
2023-04-26,NOVX,199.47
2023-04-27,NOVX,198.89
2023-04-28,NOVX,197.76
2023-05-01,NOVX,197.81
2023-05-02,NOVX,200.12
2023-05-03,NOVX,198.28
2023-05-04,NOVX,197.23
2023-05-05,NOVX,196.96
2023-05-08,NOVX,195.71
2023-05-09,NOVX,195.25
2023-05-10,NOVX,196.66
2023-05-11,NOVX,190.71
2023-05-12,NOVX,192.25
2023-05-15,NOVX,192.55
2023-05-16,NOVX,193.83
2023-05-17,NOVX,195.0
2023-05-18,NOVX,193.87
2023-05-19,NOVX,193.2
2023-05-22,NOVX,190.98
2023-05-23,NOVX,194.04
2023-05-24,NOVX,194.19
2023-05-25,NOVX,195.03
2023-05-26,NOVX,194.69
2023-05-29,NOVX,193.41
2023-05-30,NOVX,192.96
2023-05-31,NOVX,193.64
2023-06-01,NOVX,195.93
2023-06-02,NOVX,198.66
2023-06-05,NOVX,196.78
2023-06-06,NOVX,196.76
2023-06-07,NOVX,196.89
2023-06-08,NOVX,196.68
2023-06-09,NOVX,199.48
2023-06-12,NOVX,200.17
2023-06-13,NOVX,200.2
2023-06-14,NOVX,197.03
2023-06-15,NOVX,196.11
2023-06-16,NOVX,197.12
2023-06-19,NOVX,198.18
2023-06-20,NOVX,200.54
2023-06-21,NOVX,197.67
2023-06-22,NOVX,200.06
2023-06-23,NOVX,201.88
2023-06-26,NOVX,201.14
2023-06-27,NOVX,200.43
2023-06-28,NOVX,203.58
2023-06-29,NOVX,203.1
2023-06-30,NOVX,202.96
2023-07-03,NOVX,201.37
2023-07-04,NOVX,203.47
2023-07-05,NOVX,201.03
2023-07-06,NOVX,203.79
2023-07-07,NOVX,206.05
2023-07-10,NOVX,206.85
2023-07-11,NOVX,205.02
2023-07-12,NOVX,205.07
2023-07-13,NOVX,205.46
2023-07-14,NOVX,208.53
2023-07-17,NOVX,204.95
2023-07-18,NOVX,200.89
2023-07-19,NOVX,203.79
2023-07-20,NOVX,207.31
2023-07-21,NOVX,210.48
2023-07-24,NOVX,210.39
2023-07-25,NOVX,211.26
2023-07-26,NOVX,210.28
2023-07-27,NOVX,212.58
2023-07-28,NOVX,211.32
2023-08-01,NOVX,212.69
2023-08-02,NOVX,211.65
2023-08-03,NOVX,210.81
2023-08-04,NOVX,209.27
2023-08-07,NOVX,208.51
2023-08-08,NOVX,209.88
2023-08-09,NOVX,209.39
2023-08-10,NOVX,210.88
2023-08-11,NOVX,210.6
2023-08-14,NOVX,211.52
2023-08-15,NOVX,209.76
2023-08-16,NOVX,206.22
2023-08-17,NOVX,206.17
2023-08-18,NOVX,206.15
2023-08-21,NOVX,203.85
2023-08-22,NOVX,202.6
2023-08-23,NOVX,203.05
2023-08-24,NOVX,204.99
2023-08-25,NOVX,205.35
2023-08-28,NOVX,206.01
2023-08-29,NOVX,204.32
2023-08-30,NOVX,207.14
2023-08-31,NOVX,207.33
