ticker,company_name,sector,market_cap_musd
NOVX,Nova Partners,Technology,2280.6
ATLX,Atlas Holdings,Healthcare,14014.1
VERX,Vertex Partners,Financials,40860.6
SUMX,Summit Industries,Energy,35757.2
PIOX,Pioneer Corp,Consumer Discretionary,6346.8
HORX,Horizon Inc,Consumer Staples,72879.0
BEAX,Beacon Industries,Industrials,43188.4
ORBX,Orbit Partners,Utilities,51271.1
CASX,Cascade Group,Materials,34537.8
GRAX,Granite Corp,Real Estate,388036.0
MERX,Meridian Partners,Technology,41885.7
PINX,Pinnacle Inc,Healthcare,57467.0
ANCX,Anchor Holdings,Financials,6290.6
LUMX,Lumen Corp,Energy,50971.7
FALX,Falcon Industries,Consumer Discretionary,48582.0
COBX,Cobalt Partners,Consumer Staples,65089.4
STEX,Sterling Group,Industrials,33480.8
HARX,Harbor Partners,Utilities,106437.5
VANX,Vanguard Holdings,Materials,24367.0
REDX,Redwood Corp,Real Estate,39946.8
ZENX,Zenith Holdings,Technology,51434.8
QUAX,Quartz Corp,Healthcare,34512.1
EMBX,Ember Partners,Financials,179184.5
CREX,Crestline Holdings,Energy,13202.8
SOLX,Solace Holdings,Consumer Discretionary,224999.8
IROX,Ironwood Partners,Consumer Staples,36860.6
SILX,Silverline Inc,Industrials,87928.6
NORX,Northgate Inc,Utilities,46527.5
BLUX,Bluepeak Partners,Materials,135085.7
AMBX,Amberfield Partners,Real Estate,50696.8
